MODE_OF_TRANSPORTATION,WEATHER,GEOPOLITICAL_RISKS,ROUTE_OPTIMIZATION,NO_OF_DELIVERED,CUSTUMER_RATING,EFFICIENCY,EFFICIENT,BEST OR NOT
3,4,1,2,84,3,280.27,1,0
1,1,1,2,13,7,74.92,1,0
3,4,0,3,2,1,26.05,0,0
3,3,0,4,3,6,48.98,0,0
3,3,0,7,56,3,207.36,1,0
1,1,1,6,51,4,191.02,1,0
2,4,0,6,29,9,144.18,1,0
2,4,0,10,100,8,367.1,1,1
3,2,1,9,59,1,216.73,1,0
3,2,0,1,3,3,28.17,0,0
1,3,1,5,30,8,140.92,1,0
2,4,0,5,43,7,176.28,1,0
3,2,1,5,99,4,336.19,1,0
3,2,1,10,48,4,197.27,1,0
1,1,1,2,94,4,308.8,1,0
1,3,0,8,90,3,310.84,1,1
1,1,0,3,38,2,133.1,1,0
1,1,1,9,5,1,50.42,0,0
1,3,1,5,90,5,311.38,1,0
3,1,1,9,27,10,151.3,1,0
1,4,0,1,86,4,282.21,1,0
2,2,0,2,44,7,168.22,1,0
2,4,0,8,87,9,325.38,1,1
1,3,1,7,84,4,295.72,1,1
3,1,0,2,99,3,320.1,1,0
3,2,1,7,9,6,77.59,1,0
2,3,0,5,32,10,152.79,1,0
1,2,1,1,28,8,121.79,1,0
3,2,1,6,33,1,129.15,1,0
2,2,1,1,84,7,288.44,1,0
3,4,0,9,64,5,245.73,1,1
3,1,1,5,91,6,318.18,1,0
3,3,1,9,49,5,201.86,1,0
1,2,0,10,82,4,295.29,1,1
1,2,0,3,10,10,78.19,1,0
2,4,0,1,5,5,42.28,0,0
3,2,1,7,59,4,221.43,1,0
1,2,1,4,21,3,91.81,1,0
1,3,0,7,98,9,353.46,1,1
1,4,1,3,70,2,235.21,1,0
2,2,1,3,46,1,158.24,1,0
3,1,0,4,1,1,23.02,0,0
1,1,1,5,65,8,244.6,1,0
2,2,1,6,25,4,114.62,1,0
3,4,0,1,35,10,151.89,1,0
1,2,0,1,12,4,56.71,0,0
3,3,0,9,28,4,132.42,1,0
1,3,0,9,100,9,365.54,1,1
2,1,0,6,9,9,80.75,1,0
1,3,0,7,51,6,200.78,1,0
2,2,1,9,67,6,257.68,1,1
2,4,0,8,100,5,350.32,1,1
1,1,0,5,1,7,45.3,0,0
3,3,0,3,37,10,162.96,1,0
2,2,1,7,31,5,139.34,1,0
1,1,0,1,3,2,21.36,0,0
1,3,1,10,72,7,279.28,1,1
2,4,1,8,55,3,209.7,1,0
3,3,1,5,36,9,164.84,1,0
2,4,1,10,35,7,169.66,1,0
1,2,0,5,97,4,325.49,1,0
3,3,0,5,45,9,189.58,1,0
3,1,1,1,5,1,28.48,0,0
1,2,1,10,78,9,303.55,1,1
2,4,0,6,66,8,252.34,1,0
1,3,1,10,100,1,342.36,1,1
1,4,1,7,89,5,315.41,1,1
3,4,1,8,8,2,65.29,0,0
3,4,1,10,96,6,351.41,1,1
3,1,0,4,63,9,238.9,1,0
2,1,0,3,9,1,43.05,0,0
3,2,0,3,67,2,223.91,1,0
2,3,0,3,28,6,120.35,1,0
3,2,0,4,90,10,325.03,1,0
3,2,0,5,67,6,244.27,1,0
2,4,0,4,41,9,174.38,1,0
2,2,0,3,88,2,286.22,1,0
3,2,0,7,25,8,130.63,1,0
1,4,0,8,20,6,111.19,1,0
1,1,0,8,30,4,131.2,1,0
1,1,1,7,9,3,63.62,0,0
2,4,0,2,11,3,56.26,0,0
1,3,1,2,56,3,192.48,1,0
1,4,1,4,61,6,225.37,1,0
